Name,Age,Overall,Potential,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position,Ability
David Braz,31,73,73,2.7,11,1642,1,1,2,2,1,2,146
D. Roef,24,73,77,3.7,10,1229,1,1,3,1,2,1,150
Lombán,31,73,73,2.7,8,1786,1,1,3,2,2,2,146
J. Drobný,38,73,73,270,10,1052,1,2,2,1,2,1,146
A. Acquah,26,73,74,4.6,12,2001,1,1,2,3,3,3,147
T. Smith,26,73,76,4.1,33,1759,1,1,3,3,2,2,149
R. Nuzzolo,34,73,73,2.1,9,1909,0,1,4,3,2,4,146
G. Jung,23,73,80,4.8,10,1701,1,1,3,2,2,2,153
M. Iturra,34,73,73,1.2,22,1787,0,2,3,2,3,3,146
Molinero,32,73,73,2.2,8,1910,1,1,2,2,2,2,146
Pedro Sá,24,73,80,4.8,7,1833,0,1,2,2,3,3,153
D. Pérez,29,73,73,3,7,1921,0,1,3,3,2,2,146
B. Cesar,35,73,73,950,9,1387,0,2,3,2,1,2,146
D. Braghieri,31,73,73,2.7,5,1671,0,1,2,2,1,2,146
C. Álvarez,32,73,73,2.3,7,1145,1,1,3,1,2,1,146
Carlos Ponck,23,73,78,4.5,8,1737,1,1,2,2,3,2,151
R. Assalé,24,73,78,5.5,18,1787,0,1,3,3,3,4,151
M. Miazga,22,73,78,4.5,51,1520,1,1,3,2,1,2,151
Léo Bonatini,24,73,78,5.5,46,1850,1,1,4,3,3,4,151
B. Fernández,23,73,80,5.5,11,1846,1,1,4,3,1,4,153
S. Hutchinson,27,73,73,3.4,12,1606,1,1,3,2,2,2,146
S. Rybalka,28,73,74,3.6,12,1881,1,1,3,3,3,3,147
N. Acevedo,29,73,73,3.8,14,1909,1,1,4,3,3,3,146
J. Lucero,26,73,74,4.8,19,1782,1,1,3,3,1,4,147
G. Chakvetadze,18,73,86,7,10,1809,1,1,3,3,2,3,159
I. Fossum,21,73,78,5.5,19,1933,1,1,4,3,4,3,151
V. Karavaev,23,73,77,4.3,10,1960,1,1,3,3,3,2,150
T. Leibold,24,73,76,4.2,15,1987,0,1,2,3,3,2,149
G. Arias,30,73,73,2.6,12,1117,1,1,2,1,2,1,146
T. Huddlestone,31,73,73,2.7,31,1897,1,2,5,2,2,3,146
A. Clayton,29,73,73,3.1,40,1915,1,1,3,3,2,3,146
K. Nakamura,37,73,73,1.3,7,2015,1,2,3,3,2,3,146
L. Koné,29,73,73,3.1,12,1621,1,1,3,2,2,2,146
M. Vejinović,28,73,73,4,14,1966,1,1,2,3,1,3,146
H. Van Crombrugge,25,73,77,3.7,8,1166,0,1,2,1,2,1,150
M. Russ,32,73,73,2.3,24,1508,1,2,2,2,2,2,146
Pietrson Mendes,34,73,73,2,12,1883,0,1,3,3,2,3,146
Salvi Sánchez,27,73,73,4.2,9,1789,1,1,3,3,3,3,146
E. Pavez,28,73,73,4,8,1967,1,1,3,3,3,3,146
I. Kovács,26,73,74,0,0,1664,1,1,4,3,1,3,147
Nildo Petrolina,32,73,73,3.1,12,1996,0,1,4,3,4,4,146
Y. Seleznyov,32,73,73,3.2,16,1814,1,1,3,3,1,4,146
C. Löwe,29,73,73,3,34,1970,0,1,2,3,2,2,146
V. Cantillo,24,73,80,4.8,3,1721,1,1,2,3,2,3,153
J. Ward,28,73,73,3.2,37,1807,1,1,3,3,3,2,146
S. Skrzybski,25,73,74,4.8,25,1859,1,1,3,3,2,4,147
Diego Oliveira,28,73,73,4.1,11,1808,1,1,5,3,1,4,146
Luis Milla,23,73,80,4.8,7,1940,1,1,3,3,4,3,153
A. Ba,27,73,75,3.9,15,1576,1,1,3,2,1,2,148
Jaim Abra,26,73,73,2.8,10,1137,1,1,3,1,2,1,146
S. von Bergen,35,73,73,950,12,1633,1,2,3,2,2,2,146
S. Armenteros,28,73,73,4.1,6,1824,0,1,3,3,1,4,146
Y. Öztekin,31,73,73,3.5,20,1909,1,1,3,3,2,3,146
J. Molina,30,73,73,3,31,1934,1,1,4,3,3,2,146
R. Gikiewicz,30,73,73,2.6,19,1099,1,1,2,1,2,1,146
G. Silva,24,73,78,4.5,13,1849,0,1,2,3,3,2,151
W. Hoolahan,36,73,73,1.3,20,1780,0,2,2,3,2,3,146
Freder Cabral,26,73,73,2.8,20,1102,1,1,2,1,2,1,146
J. Gómez,28,73,73,4,18,1836,1,1,3,3,2,3,146
Rodrigo Galo,31,73,73,2.6,1,1939,1,1,3,3,3,2,146
R. Fredericks,25,73,75,4,46,1900,1,1,3,3,3,2,148
M. Ishak,25,73,76,5,20,1762,1,1,5,3,2,4,149
N. Gießelmann,26,73,74,3.8,21,1943,0,1,2,3,2,2,147
Luis Couprins,30,73,73,3,12,1949,1,1,3,2,1,3,146
F. Kudryashov,31,73,73,0,0,1815,0,1,2,2,2,2,146
S. Zoller,27,73,73,4.3,19,1791,1,1,3,3,1,4,146
D. Brooks,20,73,85,7,33,1713,0,1,3,4,2,3,158
M. Hawsawi,26,73,76,4.2,27,1657,1,1,3,2,2,2,149
M. Bolaños,28,73,73,4,18,1765,1,1,3,3,2,4,146
J. St. Juste,21,73,78,4.5,8,1916,1,1,3,3,3,2,151
João Aurélio,29,73,73,3,6,1996,1,1,3,3,3,2,146
J. Marié,26,73,74,4.6,13,1832,1,1,3,3,2,3,147
R. Benzar,26,73,76,0,0,1838,1,1,2,2,2,2,149
G. Sertic,28,73,73,3.2,31,2011,1,2,3,2,2,2,146
R. Philippoteaux,30,73,73,3.8,7,1804,1,1,3,3,3,3,146
Gerson,21,73,81,6,31,1867,0,1,2,3,2,3,154
B. Assombalonga,25,73,76,5,43,1788,1,1,3,3,2,4,149
J. Šural,28,73,73,4.1,1,1826,1,1,3,3,3,4,146
Gerso,27,73,73,4.2,8,1789,0,1,2,3,3,4,146
M. Urruti,27,73,74,4.7,8,1905,1,1,2,3,4,3,147
D. Ciofani,32,73,73,3.2,15,1547,1,2,3,2,2,4,146
Etxeita,30,73,73,3,17,1576,1,1,3,2,1,2,146
L. Ayling,26,73,74,3.8,31,1822,1,1,3,3,4,2,147
K. Saief,24,73,76,5,14,1959,0,1,3,3,3,3,149
S. Thioub,23,73,78,5.5,14,1785,0,1,4,3,2,3,151
D. Bronn,23,73,80,4.8,14,1837,1,1,2,3,2,2,153
J. Basanta,34,73,73,1.2,31,1676,0,2,3,2,2,2,146
Diego Farías,28,73,73,4.1,28,1787,1,1,3,4,2,4,146
L. Rodríguez,27,73,74,3.7,36,1957,1,1,2,3,2,2,147
Marcos Paneira,30,73,73,3,11,1815,1,1,3,2,2,3,146
Cifuentes,39,73,73,270,4,1186,1,1,3,1,2,1,146
K. Bartley,27,73,75,3.9,25,1501,1,1,3,2,3,2,148
K. Monnet-Paquet,29,73,73,3.9,26,1924,1,2,3,3,3,3,146
G. Cameron,32,73,73,2.3,31,1910,1,2,3,3,2,3,146
R. Yabo,26,73,74,4.7,28,1968,1,1,4,4,3,3,147
A. Najar,25,73,76,4.1,14,2022,1,2,4,4,3,2,149
B. Ramselaar,22,73,79,5.5,11,1922,1,1,3,3,3,3,152
T. Ciğerci,26,73,76,4.2,41,2000,1,2,4,3,4,3,149
O. Pérez,37,73,73,1.3,2,1872,1,1,3,3,1,3,146
F. Mattiello,22,73,78,5.5,18,1979,0,1,4,3,4,3,151
V. Forren,30,73,73,3,6,1770,0,1,3,2,2,2,146
F. Diedhiou,25,73,77,5,35,1617,1,1,2,3,3,4,150
K. Darlow,27,73,75,3.2,26,1191,1,1,2,1,2,1,148
F. Novák,28,73,73,3.2,23,1960,0,1,3,3,3,2,146
P. Martinez,29,73,74,3.5,15,1820,0,1,3,2,3,2,147
M. Santos,25,73,77,5,10,1858,1,1,4,3,3,4,150
J. Kopic,28,73,73,4,1,1839,1,1,4,3,2,3,146
N. Al Abed,28,73,73,4,31,1916,0,1,4,4,3,3,146
C. Keşerü,31,73,73,0,0,1839,0,2,3,2,3,3,146
Ferrán Torres,18,73,86,7,12,1704,1,1,4,3,3,3,159
S. Kapino,24,73,78,3.9,13,1178,1,1,2,1,2,1,151
O. Opazo,27,73,73,4.2,8,1991,1,1,5,3,4,2,146
André Geraldes,27,73,74,3.7,10,1805,1,1,3,2,2,2,147
Juli Piresinho,30,73,73,2.9,11,1871,1,1,2,3,1,2,146
J. Schlupp,25,73,76,4.1,34,1972,0,1,2,3,3,2,149
Vinicius Cardenha,26,73,73,3.4,21,1806,1,1,3,2,3,2,146
B. Lozano,24,73,78,5.5,15,1833,1,1,5,3,3,3,151
P. Hrošovský,26,73,76,4.9,1,1704,1,1,3,3,2,3,149
Gabriel Silva,27,73,74,3.7,22,1955,0,1,2,3,3,2,147
O. Sorg,28,73,73,3.2,25,1908,1,2,4,2,1,2,146
B. Johnsen,26,73,74,4.8,14,1765,1,1,2,2,2,4,147
M. Yanga-Mbiwa,29,73,73,3.1,40,1659,1,2,3,2,2,2,146
M. Britos,29,73,73,4,11,1954,0,1,3,3,3,4,146
R. Hennings,30,73,73,3.9,26,1874,0,1,3,3,4,4,146
J. Bamba,22,73,82,6,21,1867,1,1,3,3,3,3,155
Ivo Rodrigues,23,73,79,5.5,10,1894,1,1,4,4,3,4,152
E. Audero,21,73,85,5.5,30,1120,1,1,2,1,2,1,158
A. Maier,19,73,86,7.5,10,1781,1,1,3,3,3,3,159
F. Tissone,31,73,73,2.7,9,1949,1,2,3,3,2,3,146
M. Dituro,31,73,73,2.4,7,1122,1,1,3,1,2,1,146
G. Bia,28,73,73,4,13,1828,1,1,4,3,1,3,146
B. Alıcı,21,73,80,5.5,33,1758,1,1,4,3,3,3,153
G. Bussmann,27,73,73,3.3,20,1863,0,1,2,2,2,2,146
C. Buchtmann,26,73,76,4.9,16,1962,0,1,4,3,2,3,149
J. Al Hussien,35,73,73,1.8,13,1833,1,1,3,4,2,3,146
G. Poblete,25,73,76,4.2,6,1830,1,1,3,2,2,3,149
M. Niakhaté,22,73,80,4.8,17,1702,0,1,3,2,3,2,153
T. Minamino,23,73,80,5.5,27,1893,1,1,4,3,2,4,153
N. Benedetti,21,73,85,7,2,1757,1,1,3,4,2,3,158
Y. Sanogo,25,73,78,5.5,24,1706,1,1,3,3,1,4,151
E. Álvarez,20,73,79,4.7,29,1805,1,1,2,2,2,2,152
S. Sunzu,29,73,74,3.5,7,1687,1,1,2,2,2,2,147
M. Kanazaki,29,73,73,4,6,1886,1,1,4,3,3,4,146
Paulinho,26,73,73,3.4,8,1907,1,1,3,3,3,2,146
L. Bustamante,32,73,73,3.1,4,1770,1,1,4,3,1,3,146
E. Schelotto,29,73,73,3,34,1966,1,1,3,3,3,2,146
Ignasi Miquel,25,73,77,4.3,16,1565,0,1,3,2,2,2,150
Álex Gallar,26,73,74,4.7,19,1862,0,1,4,3,3,3,147
Orlando Sá,30,73,73,3.9,15,1756,1,1,3,3,3,4,146
T. Ince,26,73,74,4.7,37,1777,0,1,3,4,2,4,147
Víctor Rodríguez,28,73,73,4,8,1861,1,1,4,3,2,3,146
L. Baal,32,73,73,2.2,22,1874,0,2,3,2,3,2,146
Élton,32,73,73,3.1,18,1859,0,1,3,5,3,4,146
A. Ounas,21,73,82,6,35,1847,0,1,4,3,2,4,155
H. Afful,32,73,73,2.2,7,1977,1,1,3,3,3,2,146
C. Clemens,26,73,73,4.3,17,1912,1,2,3,3,2,3,146
F. Amorebieta,33,73,73,1.6,15,1636,0,2,3,2,3,2,146
J. O'Connell,24,73,80,4.8,10,1590,0,1,2,2,2,2,153
F. Dionisi,31,73,73,3.6,15,1751,1,2,3,3,3,4,146
H. Harbaoui,33,73,73,2.5,15,1695,1,1,3,3,1,4,146
M. Nervo,27,73,76,4,16,1733,1,1,2,2,3,2,149
J. Djourou,31,73,73,2.7,11,1589,1,2,3,2,2,2,146
P. Karlsson,32,73,73,2.3,8,1613,1,1,2,2,2,2,146
M. Rangel,27,73,73,4.3,4,1785,1,1,3,3,3,4,146
S. Pérez,25,73,77,5,18,1919,1,1,3,3,2,3,150
F. Manríquez,34,73,73,1.9,5,1938,1,1,4,3,2,3,146
Abraham González,32,73,73,3,8,1875,1,1,4,3,2,3,146
Ailton Valpaços,26,73,73,3.5,24,1867,1,1,3,2,2,2,146
J. Koundé,19,73,86,6.5,12,1597,1,1,3,2,2,2,159
T. Xhaka,27,73,75,3.9,19,1984,1,1,3,3,3,3,148
E. Mena,29,73,73,3,16,1874,0,2,3,3,2,2,146
W. Janssen,31,73,73,2.7,14,1920,1,1,4,2,3,2,146
Douglas Armeira,26,73,73,3.4,13,1898,1,1,3,3,3,2,146
M. Demiral,20,73,83,5.5,7,1610,0,1,3,2,2,2,156
D. Vera,33,73,73,2.5,14,1805,1,1,3,3,2,4,146
M. Kamiński,26,73,75,4,24,1825,0,1,2,2,3,2,148
S. Cárdenas,28,73,73,4,5,1930,0,1,2,3,3,3,146
K. Phillips,22,73,79,4.7,26,1956,1,1,3,3,3,3,152
M. Rensing,34,73,73,1.6,17,1145,1,2,3,1,2,1,146
Y. Mokhtar,26,73,73,4.3,18,1808,1,1,2,3,2,3,146
B. Dejaegere,27,73,74,4.5,17,2038,1,1,4,4,4,3,147
R. Orsolini,21,73,85,7,52,1807,0,1,4,4,3,4,158
S. de Jong,29,73,73,3.9,15,1966,1,2,4,2,3,3,146
J. Riedewald,21,73,80,4.9,26,1813,0,1,3,3,2,3,153
C. Yacob,30,73,73,3,35,1769,1,2,3,2,3,3,146
Yan Junling,27,73,76,3.4,10,1207,1,1,3,1,2,1,149
Miguel Veloso,32,73,73,2.3,13,2050,0,3,3,3,2,3,146
B. Zuculini,25,73,76,4.2,16,1894,1,1,3,3,2,3,149
J. Moreira,28,73,73,3.2,18,1822,1,1,3,3,3,2,146
B. Hamid,27,73,76,3.4,14,1147,1,1,2,1,2,1,149
V. Qazaishvili,25,73,75,4.9,7,1837,1,1,5,4,1,3,148
G. Toledo,28,73,73,3.2,11,1809,1,1,3,3,2,2,146
E. Barreto,33,73,73,2.3,26,1999,1,2,4,3,3,3,146
N. Bungert,31,73,73,2.7,20,1557,1,2,1,2,1,2,146
C. Montes,21,73,81,5,22,1733,1,1,3,2,3,2,154
J. Poulsen,34,73,73,1.9,19,1973,1,1,4,3,2,3,146
A. Grünwald,29,73,73,3.9,15,1969,0,1,2,3,2,3,146
S. Clucas,27,73,73,4.2,34,1948,0,1,4,3,4,3,146
J. Bořil,27,73,74,3.7,1,1857,1,1,4,3,4,2,147
J. Lewis,30,73,73,2.6,6,1245,1,1,3,1,2,1,146
D. Nagbe,27,73,73,4.1,7,1966,1,1,3,4,2,3,146
J. Gandolfi,37,73,73,550,9,1772,1,1,2,2,1,2,146
Fabiano,30,73,74,3,8,1158,1,1,1,1,2,1,147
J. Mišić,24,73,78,5.5,9,1936,1,1,3,2,3,3,151
J. Gélin,21,73,83,5.5,16,1685,1,1,3,2,2,2,156
S. Bertoli,40,73,73,270,6,1107,1,1,2,1,2,1,146
Xeka,23,73,79,4.7,19,1846,1,1,4,3,2,3,152
M. Rosenberg,35,73,73,1.8,6,1895,1,1,3,3,2,4,146
Raul García,29,73,73,3,22,2005,0,1,2,2,3,2,146
G. Caprari,24,73,78,5.5,25,1729,1,2,3,3,1,4,151
Diego Lopes,24,73,77,5,7,1852,1,1,4,3,1,3,150
M. Banguera,32,73,73,0,0,1016,1,1,3,1,2,1,146
O. Gonzalez,29,73,73,3.1,17,1585,1,1,3,2,3,2,146
Costinha,25,73,76,4.9,6,1996,1,1,4,3,3,3,149
E. Palacios,19,73,85,7,9,1915,1,1,4,4,4,3,158
Sergio Tejera,28,73,73,3.2,9,1995,0,1,2,3,3,3,146
Pedro Rocha,23,73,79,5.5,1,1741,1,1,3,3,3,4,152
K. Long,27,73,73,3.4,36,1603,1,1,2,2,1,2,146
M. Stekelenburg,35,73,73,950,30,1125,1,2,4,1,2,1,146
Samir,23,73,77,4.4,17,1616,0,1,2,2,3,2,150
Carlos Hernández,27,73,74,3.8,9,1612,1,1,3,2,3,2,147
L. Martínez Quarta,22,73,82,5.5,14,1865,1,1,3,3,2,2,155
F. Barba,24,73,79,4.7,11,1569,0,1,2,2,1,2,152
T. Elyounoussi,30,73,73,3.9,10,1925,1,1,4,4,3,3,146
T. Krul,30,73,73,2.6,17,1182,0,2,2,1,2,1,146
R. Morioka,27,73,74,4.6,16,1766,1,1,3,3,2,3,147
J. Valdés,37,73,73,1.3,6,1873,1,2,4,3,3,3,146
Bruno Xadas,20,73,84,7,9,1918,0,1,3,4,2,3,157
A. Büttner,29,73,73,3,12,2066,0,1,3,3,3,2,146
C. Akolo,23,73,81,6,25,1731,1,1,3,4,3,4,154
Cristiano,31,73,73,3.6,11,1867,1,1,4,3,3,4,146
K. Möhwald,24,73,77,5,19,1923,1,1,2,3,2,3,150
A. Rodríguez,29,73,73,4,8,1648,1,1,3,2,2,4,146
J. Góralski,25,73,77,0,0,1841,1,1,2,2,3,3,150
S. Larsson,33,73,73,2.3,9,2014,1,2,3,3,3,3,146
D. Ndongala,27,73,73,4.2,14,1761,1,1,3,3,2,3,146
S. Carson,32,73,73,2.3,25,1133,1,2,4,1,2,1,146
M. Matip,32,73,73,2.3,19,1764,1,2,2,2,2,2,146
A. Ulmer,32,73,73,2.2,25,1899,0,1,3,3,3,2,146
J. Pied,29,73,73,3,23,2059,1,1,3,3,4,2,146
M. van der Hoorn,25,73,76,4.2,20,1540,1,1,3,2,2,2,149
M. Gavranović,28,73,73,4.1,1,1826,1,1,4,3,1,4,146
J. Stryger Larsen,27,73,75,3.9,19,1920,1,1,3,3,4,2,148
G. Torje,28,73,73,4,13,1908,1,1,4,3,2,3,146
C. Mayada,27,73,73,3.3,17,2031,1,1,2,3,3,2,146
M. Pérez,25,73,78,4.5,26,1888,1,1,3,3,2,3,151
S. Arfield,29,73,73,3.8,41,1993,1,1,3,3,4,3,146
S. Ribas,30,73,73,3.9,17,1724,0,1,4,3,2,4,146
A. Christiansen,28,73,73,4,7,2023,1,1,3,3,4,3,146
F. Aguilar,25,73,80,4.8,5,1545,1,1,3,2,1,2,153
O. Veigneau,32,73,73,2.2,11,1866,0,1,3,3,2,2,146
Gus Outomouro,34,73,73,2.1,23,1804,1,1,3,3,2,4,146
R. Czichos,28,73,73,3.2,17,1735,0,1,3,2,3,2,146
Y. Atal,22,73,82,5.5,19,1972,1,1,5,4,3,2,155
C. Doukouré,25,73,78,4.5,16,1989,1,1,3,3,4,3,151
F. Sambueza,29,73,73,3.9,4,1800,1,1,2,3,1,3,146
Juliano Mascarinhas,34,73,73,1.2,21,1838,1,1,2,2,2,3,146
F. Rinaudo,31,73,73,3.4,13,1994,1,2,3,3,2,3,146
S. Schrijvers,21,73,79,5.5,15,1944,1,1,4,3,3,4,152
J. Ikoné,20,73,84,7,18,1762,0,1,4,3,3,3,157
A. Smithies,28,73,75,3.3,28,1211,1,1,2,1,2,1,148
T. Ream,30,73,73,3,38,1829,0,1,3,2,2,2,146
A. Maxim,27,73,73,4.2,22,1812,1,2,4,5,1,3,146
N. Navarro,33,73,73,2,12,1225,0,1,2,1,2,1,146
A. Rispoli,29,73,73,3,4,1952,1,1,3,3,3,3,146
I. Baldé,29,73,73,4,11,1745,1,1,3,3,3,4,146
Miguel Vieira,27,73,74,3.8,8,1502,1,1,2,2,2,2,147
L. Freeman,26,73,74,4.7,9,1924,0,1,3,3,2,3,147
G. Hooper,30,73,73,3.9,25,1730,1,1,2,3,1,4,146
R. Emond,26,73,74,4.8,15,1702,1,1,3,2,1,4,147
E. Terranova,31,73,73,2.7,4,1561,1,1,3,2,2,2,146
S. Dewaest,27,73,74,3.8,12,1517,1,1,2,2,3,2,147
Nélson Oliveira,26,73,73,4.4,25,1796,1,1,4,3,3,4,146
A. Losilla,32,73,73,2.3,14,1866,1,1,3,3,2,3,146
F. Meza,26,73,76,4.2,36,1628,1,1,3,2,2,2,149
C. Mathenia,26,73,76,3.5,15,1139,1,2,1,1,2,1,149
O. Ntcham,22,73,82,6,34,1993,1,1,3,3,4,3,155
M. Knoll,27,73,73,3.4,14,1994,0,1,3,2,3,3,146
A. Bakasetas,25,73,77,5,1,1904,0,1,4,3,3,3,150
M. Barrios,27,73,73,4.2,7,1874,1,1,2,3,2,3,146
S. Salcedo,20,73,80,4.9,9,1599,1,1,3,2,3,2,153
Perdigão,26,73,73,4.3,10,1753,1,1,3,4,2,4,146
Galeno,20,73,84,7,9,1808,1,1,3,4,2,4,157
Bóveda,29,73,73,3,9,1872,1,1,3,3,3,2,146
Marc Mateu,28,73,73,4,10,1823,0,1,3,3,1,2,146
G. Saville,25,73,76,4.9,12,2004,0,1,3,3,4,3,149
R. Christie,23,73,78,5.5,34,1961,0,1,4,3,4,3,151
P. Foden,18,73,88,8,36,1835,0,1,3,3,2,3,161
T. Foket,23,73,78,4.5,12,1972,1,1,3,3,4,2,151
P. Schiattarella,31,73,73,3.4,12,1964,1,1,4,3,4,3,146
F. Sørensen,26,73,76,4.2,16,1648,1,1,3,2,2,2,149
D. Ward,25,73,76,3.5,32,1140,1,1,3,1,2,1,149
L. Diony,25,73,76,5,26,1771,1,2,3,3,2,3,149
R. Krunić,24,73,78,5.5,11,1945,1,1,3,3,3,3,151
Riesgo,34,73,73,1.6,13,1209,1,1,3,1,2,1,146
J. Howson,30,73,73,3.7,41,1956,1,1,4,3,3,3,146
J. Van Damme,34,73,73,1.2,10,1836,0,2,3,2,4,2,146
M. Martins,31,73,73,0,0,1796,1,2,4,3,2,4,146
W. Faríñez,20,73,83,5,2,1265,1,1,3,1,2,1,156
B. Dibassy,28,73,73,3.2,15,1836,0,1,3,2,4,2,146
T. Reginiussen,32,73,73,2.3,6,1678,1,1,3,2,3,2,146
G. Rivas,29,73,73,4,33,1726,1,2,3,3,2,4,146
Benjamin Meseira,34,73,73,1.1,13,1815,1,1,3,3,3,2,146
C. Ninga,25,73,78,5.5,20,1829,1,1,3,3,3,4,151
M. Suttner,31,73,73,2.6,33,1960,0,1,3,3,3,2,146
G. van der Wiel,30,73,73,3,7,1930,1,2,3,3,1,2,146
W. González,23,73,81,6,22,1679,1,1,3,3,2,4,154
T. Hořava,30,73,73,3.7,1,1887,1,1,3,3,2,3,146
P. Tachtsidis,27,73,73,3.4,35,1892,0,2,3,3,1,3,146
W. Saïd,23,73,79,5.5,12,1763,1,1,2,3,1,3,152
E. Cerutti,26,73,74,4.7,29,1846,1,1,4,4,3,3,147
Gustavo Lobateiro,30,73,73,3.8,21,1725,0,1,5,3,2,3,146
Pere Milla,25,73,76,5,17,1809,0,1,2,3,2,3,149
J. Johansson,28,73,73,4,26,1844,1,1,2,3,4,3,146
T. Murg,23,73,77,5,14,1912,0,1,4,3,2,3,150
J. Ramírez,25,73,75,4.8,14,1929,0,1,3,3,2,4,148
F. Vicari,23,73,81,5,10,1450,1,1,2,2,2,2,154
K. Adams Nuhu,23,73,81,5,20,1718,1,1,3,2,3,2,154
P. Nardi,24,73,78,3.9,27,1103,1,1,3,1,2,1,151
H. Magnússon,25,73,78,4.5,1,1725,0,1,2,2,2,2,151
O. Edouard,20,73,84,7,32,1849,1,1,3,3,3,4,157
D. Rice,19,73,84,6,21,1644,1,1,3,3,3,3,157
Evandro Rochedo,34,73,73,2.1,29,1760,1,1,4,3,2,4,146
K. Westwood,33,73,73,2,17,1226,0,1,4,1,2,1,146
Bracali,37,73,73,270,4,1220,1,1,3,1,2,1,146
M. Sperduti,32,73,73,3.1,13,1731,1,1,3,3,3,3,146
Y. Gómez Andrade,26,73,75,4,12,1389,1,1,3,2,2,2,148
G. Peruzzi,26,73,76,4.1,17,1871,1,1,3,3,3,2,149
Toni Villa,23,73,82,6,14,1790,1,1,4,4,3,4,155
Y. Gordillo,26,73,78,4.4,4,1765,1,1,3,2,2,3,151
Ricardo,31,73,73,3.6,13,1860,1,1,4,3,0,4,146
B. Sanneh,23,73,79,4.7,13,1700,1,1,3,2,3,2,152
Michel Cruceiro,26,73,73,3.5,24,1908,0,1,3,2,2,3,146
L. Burián,34,73,73,1.6,9,1272,1,1,3,1,2,1,146
M. Tekdemir,30,73,73,3,18,1907,1,1,2,3,2,3,146
K. Lamprou,26,73,74,3.2,11,1192,0,1,3,1,2,1,147
I. Mbaye,23,73,80,4.7,19,1855,1,1,3,3,3,2,153
A. Browne,23,73,78,5.5,11,2041,1,1,4,3,4,3,151
G. Pazzini,33,73,73,2.5,5,1728,1,2,3,3,2,4,146
Eduardo,25,73,76,4.9,11,1867,0,1,3,3,1,3,149
C. Santos,30,73,73,3.9,10,1881,0,1,3,3,2,4,146
E. Mendy,26,73,76,3.5,12,947,1,1,2,1,2,1,149
M. Ngadeu-Ngadjui,27,73,75,3.9,1,1668,1,1,5,2,3,2,148
L. Mazzitelli,22,73,78,5.5,32,1861,1,1,4,3,2,3,151
J. Lolley,25,73,74,4.8,36,1856,0,1,3,3,4,3,147
A. Traoré,29,73,73,3.9,16,1959,0,1,4,4,2,3,146
V. Stocker,29,73,73,3.9,22,1897,0,2,4,3,2,3,146
D. Alar,28,73,73,4.1,18,1849,0,1,4,3,2,4,146
J. Añor,24,73,78,5.5,8,1834,0,1,3,3,2,3,151
A. Donis,21,73,83,6.5,21,1744,1,1,4,3,2,4,156
M. Gazzola,33,73,73,1.5,29,1807,1,1,3,3,3,2,146
F. Diagne,28,73,73,3.2,14,1785,1,1,3,2,2,2,146
S. Schaars,34,73,73,1.2,8,1907,0,2,3,2,2,3,146
M. Poundjé,25,73,76,4.1,27,1801,0,1,3,3,3,2,149
F. Hinestroza,28,73,73,4,2,1870,0,1,3,3,2,3,146
A. Hahn,27,73,73,4.2,20,1962,1,2,4,3,4,3,146
V. Shepelev,21,73,82,5.5,1,1650,1,1,3,2,2,3,155
M. Leitner,25,73,75,4.8,22,1932,1,2,4,3,2,3,148
R. Skov,22,73,81,6,15,1946,0,1,3,3,3,3,154
B. Guzan,33,73,73,2,5,1165,0,2,2,1,2,1,146
M. Mitrović,24,73,78,4.5,14,1699,1,1,2,2,2,2,151
A. Luthe,31,73,73,2.4,15,1105,1,1,3,1,2,1,146
A. Traoré,28,73,73,3.2,19,1906,0,1,2,3,3,2,146
N. Uysal,27,73,75,3.9,32,1900,1,1,3,3,3,2,148
G. Donati,28,73,73,3.2,21,1845,1,2,3,2,3,2,146
A. Ujah,27,73,73,4.3,23,1774,1,2,4,3,2,4,146
A. Kravets,29,73,73,4,14,1711,1,1,3,3,4,4,146
Z. Tomašević,28,73,74,3.6,13,1861,0,1,4,2,2,2,147
M. Borjan,30,73,73,0,0,1285,1,1,2,1,2,1,146
S. Lukić,21,73,80,4.9,21,1971,1,1,3,3,2,3,153
C. Goldson,25,73,80,4.8,34,1631,1,1,2,2,3,2,153
Rubén Alcaraz,27,73,74,4.5,16,1928,1,1,3,2,2,3,147
L. Ulloa,31,73,73,3.6,26,1813,1,1,3,2,2,4,146
Iván López,24,73,78,4.5,15,1928,1,1,3,3,2,2,151
S. Amrabat,21,73,79,5.5,13,1964,1,1,3,3,3,3,152
M. Wöber,20,73,81,5,9,1766,0,1,3,2,3,2,154
F. Lucioni,30,73,73,3,4,1611,1,1,4,2,3,2,146
Calero,22,73,82,5.5,13,1645,1,1,4,2,2,2,155
C. Marrugo,32,73,73,3.1,8,1853,1,1,4,3,2,3,146
J. Forlín,30,73,73,3,9,1743,1,1,3,2,3,2,146
L. Janson,23,73,79,5.5,12,1775,1,1,3,4,2,4,152
B. Bolingoli,23,73,78,4.5,12,1957,0,1,2,3,3,2,151
Thiago Santana,25,73,75,5,6,1691,0,1,4,3,3,4,148
K. Rausch,28,73,73,0,0,2030,0,2,3,3,2,2,146
N. Etheridge,28,73,75,3.3,28,1207,1,1,3,1,2,1,148
Aitor Sanz,33,73,73,1.6,8,1957,1,1,4,3,4,3,146
